name,country,position,club,probability,popularity,price,points,ID,young,weekday
MICHALIS KOSIDIS,GRECJA,NAPASTNIK,PUSZCZA NIEPOŁOMICE,0.116303256,479,1.9,30,2473,False,10
BARTŁOMIEJ SMOLARCZYK,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,7,1.7,0,2472,True,10
MIGOUEL ALFARELA,FRANCJA,NAPASTNIK,LEGIA WARSZAWA,0.589519651,441,2.2,21,2471,False,10
IGOR BRZYSKI,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,7,0.7,0,2470,True,10
TYMOTEUSZ GMUR,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,5,0.7,0,2469,True,10
KRYSTIAN HARCIŃSKI,POLSKA,BRAMKARZ,RADOMIAK RADOM,0.305219699,78,0.7,0,2468,True,10
MATEUSZ SZCZEPANIAK,POLSKA,POMOCNIK,LEGIA WARSZAWA,0.589519651,22,0.7,0,2467,True,10
ARNAU ORTIZ,HISZPANIA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,45,1.8,6,2466,False,10
PATRYK ROMANOWSKI,POLSKA,OBROŃCA,MOTOR LUBLIN,0.366492147,216,1,1,2465,True,10
IGOR BARTNIK,POLSKA,BRAMKARZ,MOTOR LUBLIN,0.366492147,633,0.7,0,2464,True,10
KARL WENDT,SZWECJA,OBROŃCA,LECHIA GDAŃSK,0.360182070,55,1.7,12,2463,False,10
AMIR AL-AMMARI,IRAK,POMOCNIK,CRACOVIA,0.531730738,189,1.9,22,2462,False,10
TAOFEEK ISMAHEEL,NIGERIA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,1876,2,26,2461,False,10
SZYMON STYPUŁKOWSKI,POLSKA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,34,0.7,0,2460,True,10
OSKAR LACHOWICZ,POLSKA,POMOCNIK,CRACOVIA,0.531730738,89,0.8,0,2459,True,10
HUBERT ZWOŹNY,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,2434,1,17,2458,True,10
MICK VAN BUREN,HOLANDIA,NAPASTNIK,CRACOVIA,0.531730738,1899,2.2,33,2457,False,10
CHRISTOPHER SIMON,SENEGAL,POMOCNIK,MOTOR LUBLIN,0.366492147,142,1.7,15,2456,False,10
JAKUB PESTKA,POLSKA,OBROŃCA,CRACOVIA,0.531730738,1249,0.7,0,2455,True,10
PAU RESTA,HISZPANIA,OBROŃCA,KORONA KIELCE,0.255333969,56,1.8,19,2454,False,10
SERGIO BARCIA,HISZPANIA,OBROŃCA,LEGIA WARSZAWA,0.589519651,185,1.9,10,2453,False,10
HILARY GONG,NIGERIA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,319,1.8,15,2452,False,10
BRYAN FIABEMA,NORWEGIA,NAPASTNIK,LECH POZNAŃ,0.474741550,206,1.8,19,2451,False,10
IVAN BRKIĆ,CHORWACJA,BRAMKARZ,MOTOR LUBLIN,0.366492147,2101,1.9,36,2450,False,10
LÁZAROS LAMPROU,GRECJA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,268,2.1,8,2449,False,10
ALEX DOUGLAS,SZWECJA,OBROŃCA,LECH POZNAŃ,0.474741550,1994,2.2,45,2448,False,10
JOÃO MOUTINHO,PORTUGALIA,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,2430,2,24,2447,False,10
VÁCLAV SEJK,CZECHY,NAPASTNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,136,1.8,17,2445,False,10
MARCEL KRAJEWSKI,POLSKA,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,229,1.5,19,2444,True,10
SAMUEL KOZLOVSKÝ,SŁOWACJA,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,260,1.9,17,2443,False,10
KRESHNIK HAJRIZI,KOSOWAO,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,52,1.8,3,2442,False,10
SIMON SCHIERACK,NIEMCY,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,10,1.8,0,2441,False,10
JUNIOR EYAMBA,SZWAJCARIA,NAPASTNIK,ŚLĄSK WROCŁAW,0.340314136,202,1.9,4,2440,False,10
MARVIN SENGER,NIEMCY,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,70,1.8,17,2439,False,10
RAVVE ASSAYAG,IZRAEL,NAPASTNIK,PGE FKS STAL MIELEC,0.213900774,90,1.8,14,2438,False,10
ADRIANO AMORIM,BRAZYLIA,NAPASTNIK,RAKÓW CZĘSTOCHOWA,0.676373548,316,2,17,2436,False,10
ZIÉ OUATTARA,WKS,OBROŃCA,RADOMIAK RADOM,0.305219699,919,1.8,25,2435,False,10
MICHAŁ PERCHEL,POLSKA,BRAMKARZ,PUSZCZA NIEPOŁOMICE,0.116303256,786,0.7,0,2434,True,10
PATRYK KIELIŚ,POLSKA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,14,1.5,1,2433,False,10
JAKOV BLAGAIĆ,CHORWACJA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,95,1.8,12,2432,False,10
RÚBEN VINAGRE,PORTUGALIA,OBROŃCA,LEGIA WARSZAWA,0.589519651,4586,2.1,28,2431,False,10
JEAN-PIERRE NSAME,KAMERUN,NAPASTNIK,LEGIA WARSZAWA,0.589519651,1556,2.2,13,2430,False,10
MARCEL MENDES-DUDZIŃSKI,POLSKA,BRAMKARZ,LEGIA WARSZAWA,0.589519651,214,1.3,0,2429,True,10
CLAUDE GONÇALVES,PORTUGALIA,POMOCNIK,LEGIA WARSZAWA,0.589519651,1370,2.1,20,2428,False,10
KACPER WEŁNIAK,POLSKA,NAPASTNIK,MOTOR LUBLIN,0.366492147,146,1.5,8,2427,False,10
FILIP WÓJCIK,POLSKA,OBROŃCA,MOTOR LUBLIN,0.366492147,203,1.6,23,2425,False,10
BARTOSZ WOLSKI,POLSKA,POMOCNIK,MOTOR LUBLIN,0.366492147,3188,1.7,30,2424,False,10
MBAYE N'DIAYE,SENEGAL,POMOCNIK,MOTOR LUBLIN,0.366492147,2829,1.7,24,2423,False,10
RAFAŁ KRÓL,POLSKA,POMOCNIK,MOTOR LUBLIN,0.366492147,72,1.5,3,2422,False,10
MARCEL GĄSIOR,POLSKA,POMOCNIK,MOTOR LUBLIN,0.366492147,54,1.5,8,2420,False,10
PIOTR CEGLARZ,POLSKA,POMOCNIK,MOTOR LUBLIN,0.366492147,2448,1.9,25,2419,False,10
FILIP LUBERECKI,POLSKA,OBROŃCA,MOTOR LUBLIN,0.366492147,6086,1.3,22,2417,True,10
MAREK BARTOŠ,SŁOWACJA,OBROŃCA,MOTOR LUBLIN,0.366492147,231,1.6,18,2415,False,10
BOHDAN WJUNNYK,UKRAINA,NAPASTNIK,LECHIA GDAŃSK,0.360182070,235,1.7,21,2413,False,10
TOMÁŠ BOBČEK,SŁOWACJA,NAPASTNIK,LECHIA GDAŃSK,0.360182070,108,1.9,12,2411,False,10
IWAN ŻELIZKO,UKRAINA,POMOCNIK,LECHIA GDAŃSK,0.360182070,121,1.8,20,2410,False,10
ADAM KARDAŚ,POLSKA,POMOCNIK,LECHIA GDAŃSK,0.360182070,133,0.7,0,2409,True,10
RIFET KAPIĆ,BOŚNIA I HERCEGOWINA,POMOCNIK,LECHIA GDAŃSK,0.360182070,396,1.8,29,2408,False,10
LOUIS D'ARRIGO,AUSTRALIA,POMOCNIK,LECHIA GDAŃSK,0.360182070,62,1.5,2,2407,False,10
MAKSYM CHŁAŃ,UKRAINA,POMOCNIK,LECHIA GDAŃSK,0.360182070,384,2,21,2406,False,10
ELIAS OLSSON,SZWECJA,OBROŃCA,LECHIA GDAŃSK,0.360182070,367,1.8,19,2405,False,10
MIŁOSZ KAŁAHUR,POLSKA,OBROŃCA,LECHIA GDAŃSK,0.360182070,128,1.7,6,2404,False,10
LOUP-DIWAN GUÉHO,FRANCJA,OBROŃCA,LECHIA GDAŃSK,0.360182070,46,1.7,7,2403,False,10
ANDREI CHINDRIȘ,RUMUNIA,OBROŃCA,LECHIA GDAŃSK,0.360182070,126,1.7,1,2402,False,10
BARTOSZ BRYLOWSKI,POLSKA,OBROŃCA,LECHIA GDAŃSK,0.360182070,574,0.7,0,2401,True,10
MARCEL BAJKO,POLSKA,OBROŃCA,LECHIA GDAŃSK,0.360182070,288,0.8,0,2400,True,10
BOHDAN SARNAWŚKYJ,UKRAINA,BRAMKARZ,LECHIA GDAŃSK,0.360182070,533,1.7,8,2399,False,10
KACPER GUTOWSKI,POLSKA,BRAMKARZ,LECHIA GDAŃSK,0.360182070,647,0.7,0,2397,True,10
IGOR KORNOBIS,POLSKA,NAPASTNIK,LECH POZNAŃ,0.474741550,95,0.7,0,2396,True,10
MATEUSZ MĘDRALA,POLSKA,BRAMKARZ,LECH POZNAŃ,0.474741550,253,0.7,0,2395,True,10
PEDRO NUNO,PORTUGALIA,POMOCNIK,KORONA KIELCE,0.255333969,218,1.7,25,2394,False,10
SHUMA NAGAMATSU,JAPONIA,POMOCNIK,KORONA KIELCE,0.255333969,229,1.7,8,2393,False,10
FILIP WOLSKI,POLSKA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,88,0.7,0,2392,True,10
MIKI VILLAR,HISZPANIA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,5565,1.9,35,2391,False,10
MAKSYMILIAN STRYJEK,POLSKA,BRAMKARZ,JAGIELLONIA BIAŁYSTOK,0.278018599,481,1.9,5,2390,False,10
LAMINE DIABY-FADIGA,FRANCJA,NAPASTNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,1860,2.1,27,2389,False,10
MANUEL SÁNCHEZ,HISZPANIA,OBROŃCA,GÓRNIK ZABRZE,0.174672489,1429,1.6,23,2388,False,10
JOSÉ MANUEL JOSEMA,HISZPANIA,OBROŃCA,GÓRNIK ZABRZE,0.174672489,1187,1.5,33,2387,False,10
PATRIK HELLEBRAND,CZECHY,POMOCNIK,GÓRNIK ZABRZE,0.174672489,179,1.6,18,2386,False,10
LUKÁŠ AMBROS,CZECHY,POMOCNIK,GÓRNIK ZABRZE,0.174672489,144,1.7,15,2385,False,10
BORJA GALÁN,HISZPANIA,POMOCNIK,GKS KATOWICE,0.306993713,489,1.7,16,2384,False,10
ALAN BRÓD,POLSKA,POMOCNIK,GKS KATOWICE,0.306993713,145,0.8,1,2379,True,10
BARTOSZ BARANOWICZ,POLSKA,POMOCNIK,GKS KATOWICE,0.306993713,72,1.4,2,2378,True,10
ŁUKASZ TREPKA,POLSKA,OBROŃCA,GKS KATOWICE,0.306993713,1598,0.7,0,2376,True,10
BARTOSZ JAROSZEK,POLSKA,OBROŃCA,GKS KATOWICE,0.306993713,109,1.5,0,2375,False,10
PATRYK SZCZUKA,POLSKA,BRAMKARZ,GKS KATOWICE,0.306993713,1829,0.7,0,2374,False,10
PRZEMYSŁAW PĘKSA,POLSKA,BRAMKARZ,GKS KATOWICE,0.306993713,367,1.1,0,2373,False,10
DAWID KUDŁA,POLSKA,BRAMKARZ,GKS KATOWICE,0.306993713,1371,1.7,27,2372,False,10
BARTOSZ BIEDRZYCKI,POLSKA,POMOCNIK,CRACOVIA,0.531730738,34,1.6,6,2371,True,10
ALEX CETNAR,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,124,0.7,0,2369,True,10
ALEKSANDER TOBOLIK,POLSKA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,144,0.7,1,2368,True,10
WOJCIECH MOŃKA,POLSKA,OBROŃCA,LECH POZNAŃ,0.474741550,593,0.7,2,2367,True,10
KONRAD GOLONKA,POLSKA,BRAMKARZ,CRACOVIA,0.531730738,698,0.7,0,2366,True,10
JOÃO PEGLOW,BRAZYLIA,POMOCNIK,RADOMIAK RADOM,0.305219699,647,1.5,29,2365,False,10
JAKUB JEZIERSKI,POLSKA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,346,1,4,2363,True,10
ADAM SENDOR,POLSKA,OBROŃCA,PUSZCZA NIEPOŁOMICE,0.116303256,731,0.7,0,2361,True,10
DAVÍÐ ÓLAFSSON,ISLANDIA,OBROŃCA,CRACOVIA,0.531730738,676,1.9,30,2359,False,10
JIN-HYUN LEE,KOREA POŁUDNIOWA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,293,1.7,18,2358,False,10
RAFAŁ GIKIEWICZ,POLSKA,BRAMKARZ,WIDZEW ŁÓDŹ,0.367108648,5567,1.9,31,2354,False,10
MIKKEL MAIGAARD,DANIA,POMOCNIK,CRACOVIA,0.531730738,1336,1.8,35,2353,False,10
FABIAN BZDYL,POLSKA,POMOCNIK,CRACOVIA,0.531730738,228,0.7,0,2352,True,10
BRUNO JORDÃO,PORTUGALIA,POMOCNIK,RADOMIAK RADOM,0.305219699,116,1.8,8,2349,False,10
ANTONI KLUKOWSKI,POLSKA,NAPASTNIK,POGOŃ SZCZECIN,0.421097570,223,0.7,0,2348,True,10
KACPER GOŁĘBIOWSKI,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,64,0.7,0,2347,True,10
JAKUB ŻEWŁAKOW,POLSKA,POMOCNIK,LEGIA WARSZAWA,0.589519651,158,0.7,0,2346,True,10
WOJCIECH URBAŃSKI,POLSKA,POMOCNIK,LEGIA WARSZAWA,0.589519651,212,1.2,7,2345,True,10
JAKUB ADKONIS,POLSKA,POMOCNIK,LEGIA WARSZAWA,0.589519651,75,0.7,0,2344,True,10
KORNEL LISMAN,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,84,0.7,2,2343,True,10
TOMMASO GUERCIO,WŁOCHY,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,2788,1.6,24,2342,True,10
GUILHERME ZIMOVSKI,BRAZYLIA,POMOCNIK,RADOMIAK RADOM,0.305219699,67,1.7,6,2339,True,10
LIRIM KASTRATI,KOSOWO,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,360,1.8,12,2335,False,10
NOAH DILIBERTO,FRANCJA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,29,1.8,0,2334,False,10
MIKOŁAJ TUDRUJ,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,372,0.7,0,2332,True,10
SIMEON PETROW,BUŁGARIA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,473,1.9,16,2331,False,10
SZYMON GIERLACH,POLSKA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,278,0.7,0,2328,True,10
ERICK OTIENO,KENIA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,275,1.8,26,2325,False,10
BARÁTH BARÁTH,WĘGRY,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,37,1.8,7,2324,False,10
VÁGNER DIAS,REPUBLIKA ZIELONEGO PRZYLĄDKA,POMOCNIK,RADOMIAK RADOM,0.305219699,89,1.8,6,2323,False,10
IOAN-CĂLIN REVENCO,MOŁDAWIA,OBROŃCA,PUSZCZA NIEPOŁOMICE,0.116303256,70,1.8,7,2322,False,10
RAHIL MAMMADOV,AZERBEJDŻAN,OBROŃCA,RADOMIAK RADOM,0.305219699,107,1.6,-3,2321,False,10
RYŌYA MORISHITA,JAPONIA,OBROŃCA,LEGIA WARSZAWA,0.589519651,1496,1.9,25,2317,False,10
DANNY TREJO,MEKSYK,POMOCNIK,KORONA KIELCE,0.255333969,180,1.8,9,2315,False,10
KAAN CALISKANER,NIEMCY,NAPASTNIK,MOTOR LUBLIN,0.366492147,261,1.7,14,2314,False,10
PATRYK PARYZEK,POLSKA,NAPASTNIK,POGOŃ SZCZECIN,0.421097570,2455,1.2,14,2312,True,10
PAWEŁ KWIATKOWSKI,POLSKA,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,2769,0.7,0,2311,True,10
JETMIR HALITI,KOSOWO,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,118,1.7,2,2307,False,10
TOBIASZ MRAS,POLSKA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,417,0.7,0,2306,True,10
BARTOSZ GŁOGOWSKI,POLSKA,BRAMKARZ,ŚLĄSK WROCŁAW,0.340314136,1870,0.7,0,2304,True,10
MICHAŁ WRÓBLEWSKI,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,850,0.7,0,2303,True,10
ADAM CHOJECKI,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,575,0.7,2,2302,True,10
WIKTOR KOPTAS,POLSKA,BRAMKARZ,RADOMIAK RADOM,0.305219699,5501,0.7,-1,2300,True,10
NORBERT BARCZAK,POLSKA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,385,0.7,0,2299,True,10
IGOR PIEPRZYCA,POLSKA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,351,0.7,0,2298,True,10
DANIEL BĄK,POLSKA,NAPASTNIK,KORONA KIELCE,0.255333969,652,0.7,1,2295,True,10
RADOSŁAW TUREK,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,1267,0.7,0,2293,True,10
SZYMON DOBA,POLSKA,NAPASTNIK,CRACOVIA,0.531730738,345,0.7,0,2291,True,10
MARCO BURCH,SZWAJCARIA,OBROŃCA,LEGIA WARSZAWA,0.589519651,11,1.8,0,2290,False,10
JUAN BLANCO,HISZPANIA,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,113,1.8,17,2289,False,10
VALENTIN COJOCARU,RUMUNIA,BRAMKARZ,POGOŃ SZCZECIN,0.421097570,5907,2,35,2286,False,10
KAMIL GLIK,POLSKA,OBROŃCA,CRACOVIA,0.531730738,845,1.7,18,2283,False,10
ANDREAS SKOVGAARD,DANIA,OBROŃCA,CRACOVIA,0.531730738,18,1.8,0,2282,False,10
SEBASTIAN KERK,NIEMCY,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,110,1.8,11,2281,False,10
FREDRIK ULVESTAD,NORWEGIA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,1271,2.1,30,2280,False,10
ALVIS JAUNZEMS,ŁOTWA,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,132,1.8,18,2279,False,10
FRANCISZEK DZIEWICKI,POLSKA,OBROŃCA,CRACOVIA,0.531730738,665,0.7,0,2276,True,10
PETER POKORNÝ,CZECHY,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,163,1.8,13,2273,False,10
SERHIJ BUŁECA,UKRAINA,POMOCNIK,LECHIA GDAŃSK,0.360182070,57,1.8,5,2270,False,10
SRĐAN PLAVŠIĆ,SERBIA,OBROŃCA,RAKÓW CZĘSTOCHOWA,0.676373548,14,1.9,0,2269,False,10
YOAV HOFMEISTER,IZRAEL,POMOCNIK,KORONA KIELCE,0.255333969,57,1.8,18,2268,False,10
MIŁOSZ KUROWSKI,POLSKA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,87,0.7,0,2267,True,10
ALEKSANDER WOŁCZEK,POLSKA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,79,0.7,0,2266,True,10
STANISŁAW SZCZYREK,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,198,0.7,0,2265,True,10
KRZYSZTOF KUROWSKI,POLSKA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,328,0.7,0,2264,True,10
KACPER KUCHARCZYK,POLSKA,POMOCNIK,KORONA KIELCE,0.255333969,143,0.7,0,2263,True,10
FILIP RÓZGA,POLSKA,POMOCNIK,CRACOVIA,0.531730738,851,1.5,23,2262,True,10
DOMINIK SZALA,POLSKA,OBROŃCA,GÓRNIK ZABRZE,0.174672489,859,1.5,7,2261,True,10
MIKOŁAJ MOLENDOWSKI,POLSKA,POMOCNIK,RADOMIAK RADOM,0.305219699,129,0.7,0,2256,True,10
ALEKSANDER NADOLSKI,POLSKA,POMOCNIK,LECH POZNAŃ,0.474741550,74,0.7,0,2255,True,10
JORDAN MAJCHRZAK,POLSKA,NAPASTNIK,LEGIA WARSZAWA,0.589519651,194,1.5,0,2252,True,10
ALAN RYBAK,POLSKA,NAPASTNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,266,0.7,7,2251,True,10
DAWID RYCHTA,POLSKA,BRAMKARZ,PIAST GLIWICE,0.447992056,330,0.7,0,2250,True,10
KACPER PIECHOTA,POLSKA,BRAMKARZ,PUSZCZA NIEPOŁOMICE,0.116303256,1143,0.7,0,2249,True,10
BURAK İNCE,TURCJA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,21,1.8,9,2244,False,10
MATTHEW GUILLAUMIER,MALTA,POMOCNIK,PGE FKS STAL MIELEC,0.213900774,72,1.8,21,2243,False,10
IMAD RONDIĆ,BOŚNIA I HERCEGOWINA,NAPASTNIK,WIDZEW ŁÓDŹ,0.367108648,5706,1.9,48,2242,False,10
IGOR ORLIKOWSKI,POLSKA,OBROŃCA,KGHM ZAGŁĘBIE LUBIN,0.420524919,11398,0.9,25,2239,True,10
DINO HOTIC,BOŚNIA I HERCEGOWINA,POMOCNIK,LECH POZNAŃ,0.474741550,11455,2,52,2238,False,10
OLAF KORCZAKOWSKI,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,288,0.8,13,2237,True,10
FILIP KARBOWY,POLSKA,POMOCNIK,PIAST GLIWICE,0.447992056,32,1.4,0,2235,False,10
ALI GHOLIZADEH,IRAN,POMOCNIK,LECH POZNAŃ,0.474741550,562,1.8,26,2234,False,10
ARTUR CRĂCIUN,MOŁDAWIA,OBROŃCA,PUSZCZA NIEPOŁOMICE,0.116303256,1923,1.8,20,2229,False,10
FILIP PRZYBUŁEK,POLSKA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,153,0.7,0,2228,True,10
KAMIL CYBULSKI,POLSKA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,2603,1,23,2226,True,10
FRAN ÁLVAREZ,HISZPANIA,POMOCNIK,WIDZEW ŁÓDŹ,0.367108648,14242,2,40,2225,False,10
ALEKS PETKOW,BUŁGARIA,OBROŃCA,ŚLĄSK WROCŁAW,0.340314136,1872,2.1,20,2222,False,10
MATEUSZ STĘPIEŃ,POLSKA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,46,1.5,3,2221,False,10
BERT ESSELINK,HOLANDIA,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,85,1.7,11,2220,False,10
EFTHÝMIOS KOULOÚRIS,GRECJA,NAPASTNIK,POGOŃ SZCZECIN,0.421097570,12715,2.4,39,2214,False,10
